model,group,game_file,turn,actor_role,actor_player,posterior_marginal,posterior_joint,n_cand_marginal,n_cand_joint,n_constrained_others,actual_fail,parse_ok
GPT54,llm_vs_flawed,game_1.json,3,rule,1,0,0,1,1,4,False,
GPT54,llm_vs_flawed,game_1.json,7,rule,1,0,0,1,1,4,False,
GPT54,llm_vs_flawed,game_1.json,9,rule,1,0.75,0.75,3,3,4,True,
GPT54,llm_vs_flawed,game_1.json,11,rule,1,0.724137931034,0.703703703704,15,14,4,True,
GPT54,llm_vs_flawed,game_1.json,52,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_10.json,1,rule,1,0,0,5,5,4,False,
GPT54,llm_vs_flawed,game_10.json,3,rule,1,0,0,1,1,4,False,
GPT54,llm_vs_flawed,game_10.json,5,rule,1,0.181818181818,0.181818181818,4,4,4,False,
GPT54,llm_vs_flawed,game_10.json,7,rule,1,0.4,0.4,4,4,4,False,
GPT54,llm_vs_flawed,game_10.json,11,rule,1,0,0,1,1,4,False,
GPT54,llm_vs_flawed,game_10.json,13,rule,1,0,0,1,1,4,False,
GPT54,llm_vs_flawed,game_10.json,15,rule,1,0.6,0.6,3,3,3,True,
GPT54,llm_vs_flawed,game_10.json,38,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_10.json,50,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_10.json,53,rule,1,0.375,0.357142857143,5,5,4,False,
GPT54,llm_vs_flawed,game_10.json,55,rule,1,0.4,0.4,3,3,3,False,
GPT54,llm_vs_flawed,game_10.json,59,rule,1,0,0,1,1,4,False,
GPT54,llm_vs_flawed,game_11.json,1,rule,1,0,0,5,5,4,False,
GPT54,llm_vs_flawed,game_11.json,3,rule,1,0,0,1,1,4,False,
GPT54,llm_vs_flawed,game_11.json,5,rule,1,0.1,0.1,4,4,4,False,
GPT54,llm_vs_flawed,game_11.json,7,rule,1,0.4,0.388888888889,5,5,4,False,
GPT54,llm_vs_flawed,game_11.json,9,rule,1,0.5,0.5,4,4,4,False,
GPT54,llm_vs_flawed,game_11.json,11,rule,1,0.4,0.4,5,5,4,False,
GPT54,llm_vs_flawed,game_11.json,13,rule,1,0.625,0.625,4,4,4,False,
GPT54,llm_vs_flawed,game_11.json,15,rule,1,0,0,1,1,4,False,
GPT54,llm_vs_flawed,game_12.json,1,rule,1,0,0,5,5,4,False,
GPT54,llm_vs_flawed,game_12.json,3,rule,1,0.166666666667,0.166666666667,5,5,3,True,
GPT54,llm_vs_flawed,game_12.json,5,rule,1,0,0,1,1,4,False,
GPT54,llm_vs_flawed,game_12.json,7,rule,1,0.6,0.6,3,3,4,True,
GPT54,llm_vs_flawed,game_12.json,9,rule,1,0.6875,0.680224403927,16,16,3,True,
GPT54,llm_vs_flawed,game_13.json,1,rule,1,0,0,5,5,4,False,
GPT54,llm_vs_flawed,game_13.json,3,rule,1,0.166666666667,0.166666666667,5,5,4,False,
GPT54,llm_vs_flawed,game_13.json,5,rule,1,0.714285714286,0.714285714286,4,4,4,False,
GPT54,llm_vs_flawed,game_13.json,7,rule,1,0.666666666667,0.666666666667,4,4,3,True,
GPT54,llm_vs_flawed,game_13.json,9,rule,1,0.689655172414,0.689655172414,16,16,4,True,
GPT54,llm_vs_flawed,game_13.json,11,rule,1,0.363636363636,0.363636363636,5,5,4,False,
GPT54,llm_vs_flawed,game_13.json,13,rule,1,0.333333333333,0.333333333333,4,4,4,False,
